dept,arrv
DIK,JAN
DIK,SRQ
DIK,XNA
DIK,ACY
DIK,CAE
DIK,CID
DIK,PHF
DIK,HSV
DIK,LBB
DIK,FAI
DIK,PIA
DIK,SPN
DIK,MAF
DIK,BZN
DIK,EUG
DIK,GNV
DIK,FAR
DIK,JNU
DIK,EYW
DIK,BTR
DIK,BLI
DIK,FNT
DIK,AMA
DIK,ECP
DIK,BIL
DIK,MLI
DIK,HRL
DIK,GPT
DIK,SGF
DIK,SBA
DIK,FSD
DIK,VPS
DIK,TLH
DIK,MFE
DIK,AVL
DIK,CRP
DIK,SBN
DIK,ROA
DIK,PSC
DIK,MFR
DIK,ABE
DIK,MSO
DIK,FWA
DIK,GRB
DIK,CHA
DIK,RAP
DIK,SHV
DIK,MOB
DIK,JAC
DIK,CRW
DIK,ATW
DIK,BGR
DIK,AGS
DIK,FAY
DIK,GRK
DIK,BIS
DIK,RDM
DIK,LFT
DIK,MOT
DIK,LAN
DIK,AVP
DIK,BQN
DIK,BMI
DIK,MLB
DIK,GJT
DIK,ASE
DIK,MRY
DIK,TRI
DIK,STX
DIK,FCA
DIK,CHO
DIK,DRO
DIK,TVC
DIK,AEX
DIK,GTF
DIK,MGM
DIK,PGD
DIK,ACK
DIK,EGE
DIK,OAJ
DIK,SWF
DIK,EVV
DIK,LNK
DIK,BET
DIK,DLH
DIK,PBG
DIK,GFK
DIK,TTN
DIK,IDA
DIK,BFL
DIK,SBP
DIK,IFP
DIK,SCE
DIK,ELM
DIK,AZO
DIK,LBE
DIK,GCN
DIK,KTN
DIK,EWN
DIK,MBS
DIK,CWA
DIK,MLU
DIK,STS
DIK,LRD
DIK,RST
DIK,ERI
DIK,RFD
DIK,HTS
DIK,ILG
DIK,BLD
DIK,ITH
DIK,IAG
DIK,ENA
DIK,HLN
DIK,ISN
DIK,PSE
DIK,BGM
DIK,LSE
DIK,LYH
DIK,HDN
DIK,CPR
DIK,TOL
DIK,HYA
DIK,CMI
DIK,MTJ
DIK,BRO
DIK,FSM
DIK,ADQ
DIK,SIT
DIK,YUM
DIK,HHH
DIK,SCC
DIK,TYR
DIK,ABI
DIK,CLL
DIK,SCK
DIK,SPI
DIK,OTZ
DIK,SAF
DIK,MHK
DIK,LCH
DIK,GRI
DIK,MKK
DIK,SBY
DIK,LWS
DIK,ACT
DIK,PGV
DIK,OME
DIK,GCW
DIK,CSG
DIK,FLG
DIK,ORH
DIK,ACV
DIK,VQS
DIK,SJT
DIK,LAW
DIK,YKM
DIK,FLO
DIK,CLD
DIK,SUN
DIK,MVY
DIK,SMX
DIK,ENV
DIK,PPG
DIK,BRW
DIK,YNG
DIK,LNY
DIK,EAT
DIK,DHN
DIK,COU
DIK,SPS
DIK,MQT
DIK,GTR
DIK,HOM
DIK,SGU
DIK,HVN
DIK,VLD
DIK,AKN
DIK,PUW
DIK,LUK
DIK,BFI
DIK,DBQ
DIK,TXK
DIK,GCC
DIK,ROW
DIK,BQK
DIK,DUT
DIK,ABY
DIK,MMH
DIK,GUC
DIK,PVU
DIK,BTM
DIK,ALW
DIK,NRR
DIK,TWF
DIK,COD
DIK,PLN
DIK,DLG
DIK,RKS
DIK,SUX
DIK,CMX
DIK,RDD
DIK,GCK
DIK,PSM
DIK,PIH
DIK,OWB
DIK,IPT
DIK,JLN
DIK,BJI
DIK,GGG
