dept,arrv
ATL,PHX
ATL,LAX
ATL,ORD
ATL,DFW
ATL,DEN
ATL,JFK
ATL,SFO
ATL,CLT
ATL,LAS
ATL,IAH
ATL,MCO
ATL,EWR
ATL,MSP
ATL,MIA
ATL,DTW
ATL,BOS
ATL,SEA
ATL,PHL
ATL,LGA
ATL,TPA
ATL,IAD
ATL,BWI
ATL,FLL
ATL,MDW
ATL,SLC
ATL,HNL
ATL,SAN
ATL,DCA
ATL,PDX
ATL,RSW
ATL,CVG
ATL,STL
ATL,MEM
ATL,MCI
ATL,OAK
ATL,MSY
ATL,SNA
ATL,RDU
ATL,BNA
ATL,CLE
ATL,HOU
ATL,SJC
ATL,SMF
ATL,SJU
ATL,AUS
ATL,SAT
ATL,PIT
ATL,DAL
ATL,IND
ATL,MKE
ATL,CMH
ATL,OGG
ATL,PBI
ATL,TUS
ATL,BDL
ATL,BUF
ATL,JAX
ATL,ANC
ATL,ABQ
ATL,OMA
ATL,ONT
ATL,BUR
ATL,OKC
ATL,PVD
ATL,RNO
ATL,CHS
ATL,ORF
ATL,RIC
ATL,SDF
ATL,GEG
ATL,ELP
ATL,GUM
ATL,LGB
ATL,KOA
ATL,BHM
ATL,TUL
ATL,LIH
ATL,BOI
ATL,DAY
ATL,AZA
ATL,ROC
ATL,ALB
ATL,MHT
ATL,GRR
ATL,DSM
ATL,LIT
ATL,SYR
ATL,GSP
ATL,MSN
ATL,MYR
ATL,PSP
ATL,GSO
ATL,CAK
ATL,PWM
ATL,ILM
ATL,PIE
ATL,SFB
ATL,TYS
ATL,SAV
ATL,HPN
ATL,PNS
ATL,ICT
ATL,FAT
ATL,ISP
ATL,COS
ATL,MDT
ATL,STT
ATL,BTV
ATL,LEX
ATL,DAB
ATL,ITO
ATL,JAN
ATL,SRQ
ATL,XNA
ATL,ACY
ATL,CAE
ATL,CID
ATL,PHF
ATL,HSV
ATL,LBB
ATL,FAI
ATL,PIA
ATL,SPN
ATL,MAF
ATL,BZN
ATL,EUG
ATL,GNV
ATL,FAR
ATL,JNU
ATL,EYW
ATL,BTR
ATL,BLI
ATL,FNT
ATL,AMA
ATL,ECP
ATL,BIL
ATL,MLI
ATL,HRL
ATL,GPT
ATL,SGF
ATL,SBA
ATL,FSD
ATL,VPS
ATL,TLH
ATL,MFE
ATL,AVL
ATL,CRP
ATL,SBN
ATL,ROA
ATL,PSC
ATL,MFR
ATL,ABE
ATL,MSO
ATL,FWA
ATL,GRB
ATL,CHA
ATL,RAP
ATL,SHV
ATL,MOB
ATL,JAC
ATL,CRW
ATL,ATW
ATL,BGR
ATL,AGS
ATL,FAY
ATL,GRK
ATL,BIS
ATL,RDM
ATL,LFT
ATL,MOT
ATL,LAN
ATL,AVP
ATL,BQN
ATL,BMI
ATL,MLB
ATL,GJT
ATL,ASE
ATL,MRY
ATL,TRI
ATL,STX
ATL,FCA
ATL,CHO
ATL,DRO
ATL,TVC
ATL,AEX
ATL,GTF
ATL,MGM
ATL,PGD
ATL,ACK
ATL,EGE
ATL,OAJ
ATL,SWF
ATL,EVV
ATL,LNK
ATL,BET
ATL,DLH
ATL,PBG
ATL,GFK
ATL,TTN
ATL,IDA
ATL,BFL
ATL,SBP
ATL,IFP
ATL,SCE
ATL,ELM
ATL,AZO
ATL,LBE
ATL,GCN
ATL,KTN
ATL,EWN
ATL,MBS
ATL,CWA
ATL,MLU
ATL,STS
ATL,LRD
ATL,RST
ATL,ERI
ATL,RFD
ATL,HTS
ATL,ILG
ATL,BLD
ATL,ITH
ATL,IAG
ATL,ENA
ATL,HLN
ATL,ISN
ATL,PSE
ATL,BGM
ATL,LSE
ATL,LYH
ATL,HDN
ATL,CPR
ATL,TOL
ATL,HYA
ATL,CMI
ATL,MTJ
ATL,BRO
ATL,FSM
ATL,ADQ
ATL,SIT
ATL,YUM
ATL,HHH
ATL,SCC
ATL,TYR
ATL,ABI
ATL,CLL
ATL,SCK
ATL,SPI
ATL,OTZ
ATL,SAF
ATL,MHK
ATL,LCH
ATL,GRI
ATL,MKK
ATL,SBY
ATL,LWS
ATL,ACT
ATL,PGV
ATL,OME
ATL,GCW
ATL,CSG
ATL,FLG
ATL,ORH
ATL,ACV
ATL,VQS
ATL,SJT
ATL,LAW
ATL,YKM
ATL,FLO
ATL,CLD
ATL,SUN
ATL,MVY
ATL,SMX
ATL,ENV
ATL,PPG
ATL,BRW
ATL,YNG
ATL,LNY
ATL,EAT
ATL,DHN
ATL,COU
ATL,SPS
ATL,MQT
ATL,GTR
ATL,HOM
ATL,SGU
ATL,HVN
ATL,VLD
ATL,AKN
ATL,PUW
ATL,DIK
ATL,LUK
ATL,BFI
ATL,DBQ
ATL,TXK
ATL,GCC
ATL,ROW
ATL,BQK
ATL,DUT
ATL,ABY
ATL,MMH
ATL,GUC
ATL,PVU
ATL,BTM
ATL,ALW
ATL,NRR
ATL,TWF
ATL,COD
ATL,PLN
ATL,DLG
ATL,RKS
ATL,SUX
ATL,CMX
ATL,RDD
ATL,GCK
ATL,PSM
ATL,PIH
ATL,OWB
ATL,IPT
ATL,JLN
ATL,BJI
ATL,GGG
ATL,CIU
ATL,EAU
ATL,ALO
ATL,PSG
ATL,RHI
ATL,PAH
ATL,ABR
ATL,EKO
ATL,SIG
ATL,ART
ATL,PGA
ATL,UST
ATL,MKG
ATL,LCK
ATL,SHR
ATL,BPT
ATL,HOB
ATL,RIW
ATL,CDV
ATL,OTH
ATL,CIC
ATL,UNK
ATL,APN
ATL,STC
ATL,INL
ATL,RKD
ATL,BRD
ATL,ESC
ATL,MRI
ATL,CYS
ATL,PIR
ATL,FMN
ATL,VDZ
ATL,ANI
ATL,BLV
ATL,LMT
ATL,KSM
ATL,DRT
ATL,BID
ATL,HGR
ATL,WRG
ATL,FRD
ATL,WST
ATL,CEC
ATL,HIB
ATL,PQI
ATL,MOD
ATL,IMT
ATL,MWA
ATL,GST
ATL,LEB
ATL,LWB
ATL,GAL
ATL,UIN
ATL,PIB
ATL,CLM
ATL,PVC
ATL,SHD
ATL,MGW
ATL,YAK
ATL,CKB
ATL,VRB
ATL,ROP
ATL,HNH
PHX,ATL
PHX,LAX
PHX,ORD
PHX,DFW
PHX,DEN
PHX,JFK
PHX,SFO
PHX,CLT
PHX,LAS
PHX,IAH
PHX,MCO
PHX,EWR
PHX,MSP
PHX,MIA
PHX,DTW
PHX,BOS
PHX,SEA
PHX,PHL
PHX,LGA
PHX,TPA
PHX,IAD
PHX,BWI
PHX,FLL
PHX,MDW
PHX,SLC
PHX,HNL
PHX,SAN
PHX,DCA
PHX,PDX
PHX,RSW
PHX,CVG
PHX,STL
PHX,MEM
PHX,MCI
PHX,OAK
PHX,MSY
PHX,SNA
PHX,RDU
PHX,BNA
PHX,CLE
PHX,HOU
PHX,SJC
PHX,SMF
PHX,SJU
PHX,AUS
PHX,SAT
PHX,PIT
PHX,DAL
PHX,IND
PHX,MKE
PHX,CMH
PHX,OGG
PHX,PBI
PHX,TUS
PHX,BDL
PHX,BUF
PHX,JAX
PHX,ANC
PHX,ABQ
PHX,OMA
PHX,ONT
PHX,BUR
PHX,OKC
PHX,PVD
PHX,RNO
PHX,CHS
PHX,ORF
PHX,RIC
PHX,SDF
PHX,GEG
PHX,ELP
PHX,GUM
PHX,LGB
PHX,KOA
PHX,BHM
PHX,TUL
PHX,LIH
PHX,BOI
PHX,DAY
PHX,AZA
PHX,ROC
PHX,ALB
PHX,MHT
PHX,GRR
PHX,DSM
PHX,LIT
PHX,SYR
PHX,GSP
PHX,MSN
PHX,MYR
PHX,PSP
PHX,GSO
PHX,CAK
PHX,PWM
PHX,ILM
PHX,PIE
PHX,SFB
PHX,TYS
PHX,SAV
PHX,HPN
PHX,PNS
PHX,ICT
PHX,FAT
PHX,ISP
PHX,COS
PHX,MDT
PHX,STT
PHX,BTV
PHX,LEX
PHX,DAB
PHX,ITO
PHX,JAN
PHX,SRQ
PHX,XNA
PHX,ACY
PHX,CAE
PHX,CID
PHX,PHF
PHX,HSV
PHX,LBB
PHX,FAI
PHX,PIA
PHX,SPN
PHX,MAF
PHX,BZN
PHX,EUG
PHX,GNV
PHX,FAR
PHX,JNU
PHX,EYW
PHX,BTR
PHX,BLI
PHX,FNT
PHX,AMA
PHX,ECP
PHX,BIL
PHX,MLI
PHX,HRL
PHX,GPT
PHX,SGF
PHX,SBA
PHX,FSD
PHX,VPS
PHX,TLH
PHX,MFE
PHX,AVL
PHX,CRP
PHX,SBN
PHX,ROA
PHX,PSC
PHX,MFR
PHX,ABE
PHX,MSO
PHX,FWA
PHX,GRB
PHX,CHA
PHX,RAP
PHX,SHV
PHX,MOB
PHX,JAC
PHX,CRW
PHX,ATW
PHX,BGR
PHX,AGS
PHX,FAY
PHX,GRK
PHX,BIS
PHX,RDM
PHX,LFT
PHX,MOT
PHX,LAN
PHX,AVP
PHX,BQN
PHX,BMI
PHX,MLB
PHX,GJT
PHX,ASE
PHX,MRY
PHX,TRI
PHX,STX
PHX,FCA
PHX,CHO
PHX,DRO
PHX,TVC
PHX,AEX
PHX,GTF
PHX,MGM
PHX,PGD
PHX,ACK
PHX,EGE
PHX,OAJ
PHX,SWF
PHX,EVV
PHX,LNK
PHX,BET
PHX,DLH
PHX,PBG
PHX,GFK
PHX,TTN
PHX,IDA
PHX,BFL
PHX,SBP
PHX,IFP
PHX,SCE
PHX,ELM
PHX,AZO
PHX,LBE
PHX,GCN
PHX,KTN
PHX,EWN
PHX,MBS
PHX,CWA
PHX,MLU
PHX,STS
PHX,LRD
PHX,RST
PHX,ERI
PHX,RFD
PHX,HTS
PHX,ILG
PHX,BLD
PHX,ITH
PHX,IAG
PHX,ENA
PHX,HLN
PHX,ISN
PHX,PSE
PHX,BGM
PHX,LSE
PHX,LYH
PHX,HDN
PHX,CPR
PHX,TOL
PHX,HYA
PHX,CMI
PHX,MTJ
PHX,BRO
PHX,FSM
PHX,ADQ
PHX,SIT
PHX,YUM
PHX,HHH
PHX,SCC
PHX,TYR
PHX,ABI
PHX,CLL
PHX,SCK
PHX,SPI
PHX,OTZ
PHX,SAF
PHX,MHK
PHX,LCH
PHX,GRI
PHX,MKK
PHX,SBY
PHX,LWS
PHX,ACT
PHX,PGV
PHX,OME
PHX,GCW
PHX,CSG
PHX,FLG
PHX,ORH
PHX,ACV
PHX,VQS
PHX,SJT
PHX,LAW
PHX,YKM
PHX,FLO
PHX,CLD
PHX,SUN
PHX,MVY
PHX,SMX
PHX,ENV
PHX,PPG
PHX,BRW
PHX,YNG
PHX,LNY
PHX,EAT
PHX,DHN
PHX,COU
PHX,SPS
PHX,MQT
PHX,GTR
PHX,HOM
PHX,SGU
PHX,HVN
PHX,VLD
PHX,AKN
PHX,PUW
PHX,DIK
PHX,LUK
PHX,BFI
PHX,DBQ
PHX,TXK
PHX,GCC
PHX,ROW
PHX,BQK
PHX,DUT
PHX,ABY
PHX,MMH
PHX,GUC
PHX,PVU
PHX,BTM
PHX,ALW
PHX,NRR
PHX,TWF
PHX,COD
PHX,PLN
PHX,DLG
PHX,RKS
PHX,SUX
PHX,CMX
PHX,RDD
PHX,GCK
PHX,PSM
PHX,PIH
PHX,OWB
PHX,IPT
PHX,JLN
PHX,BJI
PHX,GGG
PHX,CIU
PHX,EAU
PHX,ALO
PHX,PSG
PHX,RHI
PHX,PAH
PHX,ABR
PHX,EKO
PHX,SIG
PHX,ART
PHX,PGA
PHX,UST
PHX,MKG
PHX,LCK
PHX,SHR
PHX,BPT
PHX,HOB
PHX,RIW
PHX,CDV
PHX,OTH
PHX,CIC
PHX,UNK
PHX,APN
PHX,STC
PHX,INL
PHX,RKD
PHX,BRD
PHX,ESC
