,dept,arrv,date,stops,total distance,ticket price,departure,arrival,flight duration,airline,plane,departure_airport,departure_time,arrival_airport,arrival_time,plane code
19,phx,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",11:12pm,319
20,phx,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 14 minutes,Delta,Boeing 737-900,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",2:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",5:09pm,739
21,phx,lax,01/01/2018,Nonstop,"1,584",199.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 20 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:00pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",9:20pm,757
22,phx,lax,01/01/2018,Nonstop,"1,584",208.21,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,AIRBUS INDUSTRIE A330-300,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:50am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:09pm,333
23,phx,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,Airbus A321,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",5:28pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",7:47pm,321
24,phx,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",6:17pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",8:34pm,320
25,phx,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",11:37am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:54pm,319
26,phx,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",11:12pm,319
27,phx,lax,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 14 minutes,Delta,Boeing 737-900,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",2:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",5:09pm,739
28,lax,atl,01/01/2018,Nonstop,"1,584",199.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 20 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:00pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",9:20pm,757
29,lax,atl,01/01/2018,Nonstop,"1,584",208.21,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,AIRBUS INDUSTRIE A330-300,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:50am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:09pm,333
30,lax,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,Airbus A321,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",5:28pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",7:47pm,321
31,lax,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",6:17pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",8:34pm,320
32,lax,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",11:37am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:54pm,319
33,lax,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",11:12pm,319
34,lax,atl,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 14 minutes,Delta,Boeing 737-900,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",2:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",5:09pm,739
35,lax,phx,01/01/2018,Nonstop,"1,584",199.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 20 minutes,Delta,Boeing 757,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",7:00pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",9:20pm,757
36,lax,phx,01/01/2018,Nonstop,"1,584",208.21,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,AIRBUS INDUSTRIE A330-300,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",10:50am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:09pm,333
37,lax,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 19 minutes,Delta,Airbus A321,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",5:28pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",7:47pm,321
38,lax,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A320,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",6:17pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",8:34pm,320
39,lax,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",11:37am,"Phoenix, AZ (PHX-Sky Harbor Intl.)",1:54pm,319
40,lax,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 17 minutes,American Airlines,Airbus A319,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",8:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",11:12pm,319
41,lax,phx,01/01/2018,Nonstop,"1,584",249.20,"ATL, Atlanta","PHX, Phoenix",0 days 4 hours 14 minutes,Delta,Boeing 737-900,"Atlanta, GA (ATL-Hartsfield-Jackson Atlanta Intl.)",2:55pm,"Phoenix, AZ (PHX-Sky Harbor Intl.)",5:09pm,739
