Airport name,DST,IATA,ICAO,Location served,Time
Dnipropetrovsk International Airport,Mar-Oct,DNK,UKDD,"Dnipro, Ukraine",UTC+02:00
Daniel Field,Mar-Nov,DNL,KDNL,"Augusta, Georgia, United States",UTC−05:00
Denham Airport,,DNM,,"Denham, Western Australia, Australia",UTC+08:00
Dalton Municipal Airport,Mar-Nov,DNN,KDNN,"Dalton, Georgia, United States",UTC−05:00
Dianópolis Airport,,DNO,SWDN,"Dianópolis, Tocantins, Brazil",UTC−03:00
Tribhuvannagar Airport (Dang Airport),,DNP,VNDG,"Tribhuwannagar, Nepal",UTC+05:45
Deniliquin Airport,Oct-Apr,DNQ,YDLQ,"Deniliquin, New South Wales, Australia",UTC+10:00
Dinard–Pleurtuit–Saint-Malo Airport,Mar-Oct,DNR,LFRD,"Dinard / Saint-Malo, Brittany, France",UTC+01:00
Denison Municipal Airport,Mar-Nov,DNS,KDNS,"Denison, Iowa, United States",UTC−06:00
Dinangat Airport,,DNU,AYDN,"Dinangat, Papua New Guinea",UTC+10:00
Vermilion Regional Airport,Mar-Nov,DNV,KDNV,"Danville, Illinois, United States",UTC−06:00
Galegu Airport,,DNX,HSGG,"Dinder, Sudan",UTC+03:00
Denizli Çardak Airport,,DNZ,LTAY,"Denizli, Turkey",UTC+03:00
Doany Airport,,DOA,,"Doany, Madagascar",UTC+03:00
Dobo Airport,,DOB,WAPD,"Dobo, Indonesia",UTC+09:00
Dornoch Airport,Mar-Oct,DOC,,"Dornoch, Scotland, United Kingdom",UTC±00:00
Dodoma Airport,,DOD,HTDO,"Dodoma, Tanzania",UTC+03:00
